0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:31 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1282
0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:32 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:32 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:34 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3562
0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:34 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1282
0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:38 +0300] "GET /Myynti/asiakkaat/haeyksi/1 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:45 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:46 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:47 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3562
0:0:0:0:0:0:0:1 - - [08/May/2022:19:57:48 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1282
